id,name,description,is_completed
1,Gabianus pacificus,Food Chemist,false
2,Tragelaphus scriptus,Help Desk Operator,false
3,Phascogale calura,Media Manager IV,false
4,Cathartes aura,Food Chemist,false
5,Phalacrocorax carbo,Environmental Specialist,false
6,Taurotagus oryx,Pharmacist,false
7,Ciconia episcopus,Biostatistician I,false
8,Petaurus breviceps,Payment Adjustment Coordinator,false
9,Bettongia penicillata,Data Coordinator,false
10,Chlamydosaurus kingii,Analog Circuit Design manager,false
11,Pytilia melba,Internal Auditor,false
12,Anitibyx armatus,Internal Auditor,false
13,Pseudocheirus peregrinus,Account Representative II,false
14,Graspus graspus,Business Systems Development Analyst,false
15,Dusicyon thous,Occupational Therapist,false
16,Otocyon megalotis,Statistician III,false
17,Trachyphonus vaillantii,Accountant II,false
18,Phalaropus fulicarius,Internal Auditor,false
19,Paradoxurus hermaphroditus,Technical Writer,false
20,Tringa glareola,Safety Technician IV,false
